municipio_ibge,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,SE 18,SE 19,SE 20,SE 21,SE 22
3529302,1,2,2,2,2,2,2,3,8,10,11,11,12,13,15,18,20,21,22,22,22,23
3529401,1,4,5,6,6,8,8,8,8,8,9,9,9,11,11,11,11,11,11,11,11,11
3529500,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
3529609,0,0,0,1,3,8,13,16,18,24,29,32,56,90,109,135,150,170,176,176,179,181
3529658,0,0,0,0,0,3,6,6,15,20,28,37,49,62,68,80,83,86,98,101,104,105
3529708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529807,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
3529906,0,0,0,1,1,1,1,2,2,6,9,12,12,14,16,18,21,25,28,28,28,28
3530003,0,1,1,3,4,6,11,18,21,26,33,36,42,49,51,54,56,57,59,63,64,64
3530102,4,16,50,92,164,229,319,413,504,594,663,726,767,809,849,881,909,934,975,998,1013,1022
3530201,1,3,4,9,12,21,28,42,53,70,85,92,99,112,122,129,132,141,153,163,169,169
3530300,0,2,3,5,10,14,17,21,26,30,36,39,41,44,47,55,61,69,74,77,79,79
3530409,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,5,6,6,6,6,7,7
3530508,130,319,530,768,1029,1273,1534,1716,1911,2106,2222,2272,2297,2331,2358,2383,2403,2409,2412,2416,2417,2417
3530607,0,3,6,9,9,10,10,13,15,15,16,16,18,18,19,19,19,19,19,19,20,20
3530706,8,19,47,81,126,205,287,338,436,558,677,743,814,922,1040,1150,1269,1398,1491,1554,1583,1598
3530805,36,121,227,368,517,654,853,996,1167,1364,1498,1619,1758,1859,1943,2020,2092,2142,2192,2219,2232,2239
3530904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531001,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,4,6,9,19,27,29,29
3531100,0,0,0,0,0,0,4,5,7,7,7,7,7,9,9,10,11,13,13,13,14,14
3531209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531308,2,3,5,6,15,25,39,52,67,82,95,103,115,133,148,160,173,188,203,207,210,211
3531407,2,5,7,10,11,16,18,19,22,24,29,33,36,39,43,44,48,48,51,53,53,53
3531506,0,1,1,4,5,5,5,5,5,6,6,6,9,11,13,14,15,15,15,15,15,15
3531605,1,5,15,40,85,143,170,197,224,231,238,244,251,255,256,258,259,259,259,259,259,259
3531704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531803,0,3,3,6,6,10,16,25,28,38,46,54,59,81,98,126,145,161,176,190,198,201
3531902,1,1,1,1,3,5,6,8,10,10,11,11,11,12,14,20,26,30,32,32,33,33
3532009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3532058,0,0,0,0,1,1,1,1,1,1,4,5,6,6,6,6,8,9,9,9,9,9
3532108,0,0,1,1,2,2,4,4,5,5,6,7,9,12,13,13,13,13,13,13,13,14
3532157,0,0,0,2,2,9,19,27,49,86,109,127,148,163,170,175,175,175,178,178,179,179
3532207,1,2,5,9,13,18,21,27,35,47,61,75,92,99,112,123,125,126,130,133,134,134
3532306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3532405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
3532504,0,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,8,8,9,9,9,9
3532603,1,2,2,6,9,15,17,25,32,41,58,63,81,92,115,163,214,255,291,309,321,323
3532702,2,3,5,8,10,12,15,15,18,19,22,22,22,22,22,22,22,22,22,22,22,22
3532801,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
3532827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3532843,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3532868,0,0,0,0,1,2,5,5,6,9,9,9,9,13,17,19,21,23,24,26,26,26
3532900,0,1,2,3,4,6,9,11,14,21,29,32,36,36,40,44,46,46,46,46,46,46
3533007,0,0,0,3,12,17,20,28,31,38,40,42,44,50,59,75,87,94,105,110,114,114
3533106,0,0,0,2,2,2,2,2,3,4,6,14,21,29,33,37,38,42,42,44,46,48
3533205,0,0,0,1,1,1,1,1,2,6,7,7,9,11,12,13,13,16,18,21,22,22
3533254,4,14,32,57,76,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
3533304,0,0,1,2,2,2,2,4,5,9,12,20,39,46,51,61,70,73,83,92,98,100
3533403,1,3,4,5,5,14,30,70,91,99,145,173,183,199,220,238,262,284,300,310,315,315
3533502,0,3,5,9,18,29,46,61,79,93,106,120,141,165,191,226,237,258,278,296,300,305
3533601,0,0,0,0,1,1,2,4,4,4,5,5,5,8,9,18,20,21,26,27,29,29
3533700,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,5,5,6,6
3533809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3533908,0,0,0,5,7,11,13,19,22,24,24,25,27,29,32,35,37,39,41,42,43,43
3534005,0,0,2,2,6,13,20,29,35,40,50,61,73,78,80,86,93,95,99,102,104,104
3534104,0,0,1,1,1,1,1,1,1,1,1,1,2,4,4,6,6,6,6,6,6,6
3534203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3534302,1,4,4,5,5,6,8,10,14,16,18,23,26,29,29,33,35,38,38,39,39,39
3534401,2,10,28,42,57,76,104,126,144,162,178,182,191,198,206,214,219,222,224,226,226,226
3534500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,5,5,5
3534609,24,73,161,263,350,452,551,585,630,707,774,816,853,883,907,915,923,933,943,948,950,953
3534708,12,33,62,103,131,169,213,255,339,416,495,555,655,744,846,966,1099,1179,1261,1290,1301,1301
3534757,2,9,14,20,28,54,75,83,86,95,97,101,103,103,106,109,109,109,112,114,114,115
3534807,7,30,74,136,266,390,475,518,551,581,603,618,625,633,643,649,653,653,658,659,660,662
3534906,1,1,3,7,13,25,39,45,53,70,79,89,102,117,131,140,162,181,191,194,196,196
3535002,0,0,1,1,1,2,2,6,8,12,13,16,16,19,21,22,22,22,22,22,22,22
3535101,9,34,86,142,210,307,392,448,497,543,590,602,613,618,619,620,623,627,632,632,632,632
3535200,0,0,0,0,0,1,5,8,8,13,20,22,22,22,22,23,25,28,35,38,47,49
3535309,11,31,77,167,280,419,543,678,832,963,1093,1161,1213,1291,1344,1377,1409,1442,1462,1475,1484,1484
3535408,1,4,19,27,34,63,93,116,186,261,287,319,378,415,461,502,542,571,587,602,613,616
3535507,3,9,18,39,53,106,151,185,213,247,276,294,330,350,389,421,453,478,499,520,525,527
3535606,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3535705,0,0,1,1,1,2,2,2,4,5,6,6,9,10,12,13,14,15,17,21,24,24
3535804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3535903,0,0,0,1,1,3,7,9,9,10,10,15,16,16,17,17,18,18,18,18,18,18
3536000,39,107,216,347,483,619,714,747,775,801,812,823,833,838,843,847,849,851,857,860,863,863
3536109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3536208,2,4,7,9,10,13,22,38,57,77,100,111,133,166,185,215,232,259,279,297,311,315
3536257,21,58,98,155,187,212,247,263,272,277,279,282,282,284,286,286,286,286,286,287,287,287
3536307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3536406,6,10,21,28,51,87,121,165,224,257,283,296,314,326,347,356,373,386,388,388,388,388
3536505,3,9,9,12,18,20,32,40,51,62,68,72,78,84,87,90,96,99,106,110,113,114
3536570,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3536604,0,0,0,4,4,6,7,9,10,11,16,17,18,19,21,21,21,21,22,22,22,22
3536703,0,0,1,1,1,1,1,1,2,3,9,10,10,14,15,18,21,23,29,32,34,34
3536802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3536901,0,0,0,1,4,5,8,12,13,13,15,16,20,23,24,24,25,26,30,31,35,36
3537008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537107,0,2,3,3,3,3,3,4,12,15,26,34,41,45,49,54,62,71,76,76,76,77
